NBDLL,L0013,23200279,5,3,1,2023,SI
7YKF7,C0033,23200238,2,5,10,2023,NO
3L0ZB,C0014,23200304,2,7,5,2023,SI
9WPAL,L0025,23200269,5,1,12,2023,SI
3NFEY,L0009,23200271,6,2,4,2023,NO
TKD2G,L0015,23200100,5,1,4,2023,SI
SH6W3,C0009,23200103,2,7,4,2023,NO
O7QUR,C0031,23200081,2,1,11,2024,SI
AI2R3,C0008,23200118,3,2,4,2024,SI
0KSBL,C0005,23200123,4,2,1,2024,NO
528VI,L0022,23200246,6,7,11,2023,SI
CE5BC,L0011,23200264,6,1,6,2024,SI
JOOAA,C0017,23200077,4,3,7,2023,NO
SBPLG,L0006,23200237,4,4,10,2024,NO
RR7X9,C0005,23200334,6,7,12,2023,NO
ES9MM,L0034,23200290,6,4,9,2024,SI
WUKD0,L0028,23200108,3,4,7,2023,NO
JA5DR,L0018,23200244,1,7,9,2023,NO
CSP2Y,L0017,23200287,3,4,11,2023,SI
IFWLM,C0028,23200316,1,4,5,2024,SI
78UGC,C0038,23200275,1,2,10,2024,NO
42WRZ,L0002,23200126,2,5,8,2024,SI
I2M8H,C0038,23200125,3,6,1,2023,SI
69QGU,L0036,23200320,3,3,2,2024,NO
CPDC9,C0025,23200081,2,1,11,2023,NO
WNJVC,L0017,23200332,5,2,9,2024,SI
7W6TD,C0001,23200258,5,2,8,2023,NO
O99AR,C0006,23200261,4,4,1,2023,SI
RUHUX,L0023,23200094,4,2,4,2024,SI
JQJ4W,L0033,23200253,5,7,5,2024,NO
37JQK,L0024,23200307,3,6,9,2024,SI
1G8HV,L0035,23200270,2,4,10,2023,SI
H0NKM,L0009,23200312,5,2,11,2023,NO
O1AS4,C0022,23200241,6,3,10,2023,SI
WLP7H,L0031,23200105,1,2,7,2024,SI
FZKGS,L0008,23200252,6,4,8,2024,SI
UZPRF,C0004,23200088,6,1,12,2023,NO
GSAX3,L0035,23200297,5,2,7,2023,NO
EOUFC,L0026,23200106,2,7,9,2023,SI
N5K3R,L0011,23200284,2,6,11,2024,SI
FOIZU,L0038,23200081,5,1,2,2023,SI
P790F,C0014,23200115,1,7,6,2024,NO
U0L4O,L0025,23200304,3,1,5,2023,SI
U52TA,L0029,23200304,1,3,4,2023,NO
5347T,L0032,23200095,1,5,10,2024,SI
YTNVC,L0009,23200275,2,2,2,2024,NO
3LH76,C0009,23200299,4,3,12,2023,SI
HAVAU,L0032,23200124,5,1,5,2023,NO
QPJFN,C0038,23200085,4,5,8,2024,SI
E417A,C0038,23200079,6,1,7,2023,NO
STINN,L0010,23200290,2,5,9,2023,SI
EKT3V,L0035,23200239,4,3,11,2023,NO
1RFDJ,L0004,23200313,5,4,2,2023,SI
4L9T3,L0009,23200256,6,6,6,2024,SI
JMQ9B,C0035,23200126,5,7,4,2024,NO
BLV1J,L0024,23200123,4,5,12,2024,SI
4QY3V,C0003,23200297,4,1,4,2023,SI
9YFRU,L0013,23200271,2,1,5,2023,SI
XBLTK,C0026,23200095,6,1,11,2024,NO
Z0UAQ,C0014,23200283,3,5,4,2024,NO
S61J9,C0008,23200262,4,2,10,2024,NO
WOOLU,L0035,23200253,3,4,3,2023,SI
7UI2F,C0037,23200235,4,1,12,2024,NO
F98RX,C0009,23200090,6,2,3,2023,NO
7NFJA,C0012,23200075,6,6,4,2023,SI
EEE9V,L0014,23200259,3,7,8,2024,NO
XA89B,L0019,23200237,2,6,7,2024,SI
HIG0D,C0006,23200090,3,2,9,2024,NO
ZP6V6,C0031,23200307,5,7,3,2024,NO
THBNU,C0011,23200309,2,5,9,2023,SI
L0FR6,C0013,23200239,6,7,3,2023,SI
U26WD,L0005,23200255,6,2,6,2023,NO
R7WA6,L0024,23200291,1,4,6,2024,NO
FFZYB,C0005,23200083,4,7,3,2023,SI
822ZD,L0009,23200280,3,4,10,2024,NO
O3HPV,C0028,23200238,5,6,3,2024,NO
DT4P2,L0035,23200106,3,5,5,2023,SI
Z40VW,L0010,23200244,6,1,5,2024,SI
3NBSW,L0028,23200281,6,3,8,2024,SI
DJZVP,L0040,23200275,5,6,1,2024,SI
4FOI5,L0015,23200307,2,5,1,2023,NO
CTN8R,L0014,23200300,3,4,4,2023,SI
RQ8JL,L0017,23200297,1,3,8,2024,SI
6KPQP,L0036,23200110,1,2,5,2023,SI
YV8ZH,L0033,23200318,6,3,7,2024,SI
74BTM,L0001,23200235,3,7,6,2024,NO
T46JY,L0015,23200253,2,7,12,2023,SI
IZDVE,L0023,23200321,1,1,12,2024,NO
AHNCP,C0017,23200314,1,5,3,2024,NO
BY3GX,L0022,23200274,5,6,7,2024,SI
NEDQ5,L0014,23200319,5,4,3,2024,SI
XVF12,L0011,23200333,3,5,11,2024,SI
NDLZM,C0001,23200077,2,1,5,2023,SI
RON6F,C0035,23200103,1,2,9,2024,NO
0O8TJ,L0012,23200278,1,4,12,2024,NO
E7FRW,L0008,23200312,6,2,10,2024,NO
QFQZC,L0034,23200114,4,5,5,2023,NO
DPL3Q,C0027,23200291,5,6,11,2023,NO
89R4M,L0026,23200096,2,7,7,2023,SI
1SY7R,C0036,23200337,6,5,3,2023,NO
0T1U8,L0007,23200237,2,5,4,2024,NO
WXAJ4,C0021,23200248,6,1,5,2023,NO
VLRKO,C0033,23200076,2,1,6,2024,NO
OGEZ8,L0022,23200302,2,6,9,2023,SI
TH64R,C0018,23200121,4,1,7,2024,NO
E06LK,L0033,23200260,2,4,3,2023,SI
PQL68,C0012,23200268,5,2,9,2023,NO
4U7HA,L0020,23200078,2,2,9,2023,SI
HWZ4V,C0014,23200263,3,2,2,2024,SI
K2V9D,C0022,23200240,3,3,10,2023,NO
PIVG4,C0001,23200099,6,6,2,2024,SI
YWN8T,L0008,23200292,4,2,12,2023,SI
94YSK,C0016,23200117,3,3,12,2024,SI
EE0MU,C0025,23200090,1,5,10,2024,NO
MRKJ3,L0021,23200334,2,4,6,2024,NO
KIW2K,L0031,23200283,1,4,7,2023,SI
CF84L,C0009,23200252,1,6,5,2024,NO
O4NRV,C0011,23200080,3,7,2,2023,NO
VH0LS,C0010,23200111,4,7,11,2024,SI
H7CAK,L0015,23200310,2,5,11,2023,SI
EKL28,C0012,23200075,6,5,4,2024,NO
U1SVL,C0039,23200099,6,5,2,2024,SI
9VCBU,C0035,23200296,2,2,12,2024,NO
62460,L0025,23200241,1,1,7,2023,SI
XTTW1,L0025,23200237,6,1,2,2023,SI
F0JEZ,C0027,23200085,4,4,11,2023,SI
QO24M,L0025,23200108,4,4,2,2024,NO
JTLNJ,L0016,23200268,3,1,4,2023,NO
Q0RTN,L0024,23200126,2,2,8,2024,SI
K7SYN,C0033,23200269,6,3,3,2023,NO
H4V78,C0017,23200261,3,3,11,2023,SI
INVY9,L0006,23200330,1,1,5,2024,SI
JLDIG,C0038,23200279,5,2,12,2023,NO
RQ4IC,C0033,23200236,2,3,8,2024,SI
CQ88M,C0023,23200329,4,5,4,2023,SI
EHE25,L0018,23200251,5,4,2,2023,SI
XVN1H,C0005,23200079,4,2,4,2023,NO
B0JOE,L0006,23200286,4,2,4,2024,SI
GWHWA,C0040,23200092,6,7,3,2024,SI
1432X,C0031,23200331,2,2,9,2023,SI
W29CG,L0032,23200241,1,7,1,2024,NO
J2MHD,C0006,23200252,2,4,6,2023,NO
1JSYT,C0016,23200255,2,3,1,2023,NO
AHOH5,C0016,23200302,2,3,4,2023,NO
2HVU2,L0013,23200102,6,2,10,2023,NO
0JPX9,L0036,23200289,2,5,10,2024,NO
UBUWT,L0002,23200254,1,6,9,2024,SI
HZ62D,C0008,23200291,4,2,6,2024,SI
4AS1M,C0020,23200088,3,5,7,2024,SI
Y7ZDD,C0028,23200248,5,7,10,2024,NO
W1SDF,C0015,23200114,1,1,8,2024,NO
MUC7G,L0016,23200122,5,2,5,2023,NO
7LR69,L0035,23200270,2,2,11,2024,SI
WFPR3,L0022,23200276,3,2,9,2023,NO
ERB7M,C0008,23200247,3,7,6,2024,NO
OIBCP,C0007,23200289,5,4,2,2023,NO
T5IYG,C0004,23200279,2,4,3,2023,NO
6NRW5,C0007,23200330,4,3,2,2023,NO
EA4VG,L0006,23200119,1,2,10,2023,NO
FU46G,L0006,23200305,2,4,8,2023,NO
T13PO,L0016,23200117,3,6,9,2024,SI
668EC,L0003,23200118,6,1,3,2024,NO
O1WZB,L0023,23200263,6,5,10,2024,SI
4YCZ9,C0007,23200106,6,5,3,2024,NO
3RRJZ,C0027,23200099,2,1,8,2023,SI
9DR7J,C0025,23200113,6,3,1,2024,SI
SSOSG,L0007,23200296,5,5,8,2024,NO
TTU2O,L0021,23200275,1,7,2,2024,NO
1M1M0,L0007,23200330,6,2,6,2023,NO
53O2J,L0012,23200268,4,2,4,2023,SI
MWKHU,C0012,23200311,1,2,1,2023,NO
JIX5J,L0035,23200099,5,4,8,2024,NO
4MAYT,C0026,23200090,5,7,8,2023,NO
3DCG9,C0008,23200112,5,6,2,2023,NO
XHRJP,C0037,23200088,1,5,11,2023,NO
679WM,C0021,23200311,2,2,4,2024,NO
3V3L5,L0039,23200309,5,1,10,2023,SI
9Y5XA,L0011,23200239,1,1,3,2024,SI
R4I3U,C0021,23200267,4,7,10,2023,NO
R4QKS,L0004,23200237,2,7,10,2023,NO
I3LWK,L0035,23200079,3,1,9,2024,SI
Z1W0T,L0004,23200122,2,4,9,2023,SI
83B6B,C0029,23200110,3,3,2,2024,SI
05WM5,L0019,23200321,2,3,9,2024,SI
MOH4G,C0007,23200324,4,4,2,2024,SI
AWPLG,C0005,23200080,5,1,6,2023,SI
V442W,C0003,23200110,2,6,3,2023,NO
5Y438,C0014,23200260,5,3,10,2023,NO
MOXN3,C0030,23200255,6,5,8,2024,SI
JYGU0,C0029,23200084,6,3,2,2024,SI
QLY46,L0015,23200297,5,1,4,2024,NO
X9773,C0020,23200296,3,6,10,2024,NO
H99AS,C0013,23200303,2,4,6,2023,NO
MBNEB,L0036,23200279,2,2,11,2024,NO
BXXUY,C0029,23200251,1,6,5,2023,NO
BJISN,L0024,23200103,5,4,9,2024,SI
UD76M,L0034,23200106,2,2,3,2024,SI
BH1WT,C0027,23200109,1,5,10,2024,NO
2ZVNY,C0015,23200300,6,2,10,2023,NO
B3MGZ,L0009,23200282,5,1,5,2023,NO
G82V9,C0003,23200334,2,5,6,2023,NO
IY97V,L0006,23200098,6,4,7,2023,SI
XS0GE,L0005,23200103,3,2,10,2023,SI
FZS85,L0032,23200314,3,5,2,2023,NO
0VGVH,L0032,23200333,1,7,4,2024,SI
IP5O5,C0032,23200264,1,2,11,2024,NO
S1DS0,C0037,23200317,5,4,9,2024,SI
VT893,C0011,23200094,3,4,7,2024,NO
57Z1Z,L0011,23200317,6,6,10,2024,NO
9IB67,L0010,23200328,1,7,9,2024,NO
FE0AH,C0026,23200298,4,5,10,2023,SI
L0VCK,C0031,23200320,6,4,5,2024,SI
S1JXN,L0021,23200247,4,7,3,2023,NO
FYXE3,L0028,23200305,2,2,2,2023,NO
D1NJJ,L0029,23200126,1,2,10,2024,NO
2SZZY,C0022,23200287,6,6,6,2024,SI
T9G2A,L0014,23200250,5,2,1,2023,NO
NPU5B,C0022,23200297,5,6,4,2024,SI
OWYBM,L0006,23200110,5,2,8,2023,SI
XGBHD,C0020,23200256,2,6,11,2023,SI
UEK1G,L0006,23200272,1,6,7,2023,SI
ROZCF,C0039,23200085,6,3,1,2023,NO
XJZ0Q,C0013,23200336,3,1,10,2023,SI
PBWHY,C0034,23200100,3,6,9,2024,NO
PXQXP,C0006,23200239,2,2,8,2023,NO
PWG78,L0015,23200104,3,4,12,2023,NO
XFBRH,L0011,23200235,5,1,6,2024,NO
LFSUH,L0006,23200110,2,4,9,2023,SI
